,Store Name,Address,Zip,New status,Last updated,Location
67,Save A Lot,344 E 63rd St,60637,OPEN,06/05/2020 01:21:00 PM,POINT (-87.616756 41.780225)
68,Costco,2746 N Clybourn Ave,60614,OPEN,06/05/2020 01:21:00 PM,POINT (-87.676224 41.930664)
69,Jewel - Osco,5516 N Clark St,60640,OPEN,06/03/2020 05:00:00 PM,POINT (-87.668645 41.982857)
70,Farmer's Best Market,6420 W FULLERTON AVE,60707,OPEN,06/10/2020 12:00:00 AM,POINT (-87.790105 41.923654)
71,Bockwinkel's at McClurg,320 E Ohio,60601,OPEN,,POINT (-87.619678 41.892621)
72,Food Town,935 E 79TH ST,60619,OPEN,06/10/2020 12:00:00 AM,POINT (-87.601174 41.751322)
73,Mariano's Fresh Market,1500 N Clybourn Ave. #C104,60610,OPEN,06/05/2020 01:21:00 PM,POINT (-87.646261 41.908623)
74,Supermercado El Guero,1701 W 47th Street,60609,OPEN,06/04/2020 03:00:00 PM,POINT (-87.667504 41.808611)
75,Save A Lot,4439 W 63rd St,60629,OPEN,06/04/2020 03:00:00 PM,POINT (-87.734011 41.778509)
76,Pete's Fresh Market,2526 W Cermak Rd.,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.689379 41.852011)
77,Cermak Produce,5220 S Pulaski,60632,OPEN,06/04/2020 03:00:00 PM,POINT (-87.723369 41.797972)
78,Jewel - Osco,1341 N Paulina St,60622,OPEN,06/03/2020 05:00:00 PM,POINT (-87.670004 41.906389)
79,Mariano's Fresh Market,3857 S Dr. Martin Luther King Jr. Dr.,60653,OPEN,06/05/2020 01:21:00 PM,
80,Tony's Finer Foods,4608 W. Belmont Avenue,60641,OPEN,06/04/2020 03:00:00 PM,POINT (-87.742133 41.938918)
81,Bockwinkel's Fresh Express,155 N Harbor Drive,60601,OPEN,,POINT (-87.615743 41.88494)
82,Target,2939 W Addison St,60618,OPEN,06/05/2020 01:21:00 PM,POINT (-87.701338 41.94667)
83,Cermak Produce,6623 Damen Ave,60645,OPEN,06/04/2020 03:00:00 PM,POINT (-87.680301 42.002765)
84,Whole Foods Market,832 W 63rd St,60621,OPEN,06/04/2020 03:00:00 PM,POINT (-87.646252 41.779755)
85,Mariano's Fresh Market,5353 N Elston,60630,OPEN,06/05/2020 01:21:00 PM,POINT (-87.757473 41.978765)
86,Aldi,2431 W Montrose Ave,60618,OPEN,06/04/2020 03:00:00 PM,POINT (-87.689822 41.961329)
87,Aldi,3030 S Kedzie Ave,60623,OPEN,06/04/2020 03:00:00 PM,POINT (-87.704836 41.838177)
88,Gordon Food Service Store,6431 W FULLERTON AVE,60707,OPEN,06/10/2020 12:00:00 AM,POINT (-87.786653 41.923634)
89,Cermak Produce,4401 W ARMITAGE AVE,60639,OPEN,06/10/2020 12:00:00 AM,POINT (-87.737017 41.91706)
90,Target,1101 W Jackson Blvd,60607,OPEN,06/05/2020 01:21:00 PM,POINT (-87.654886 41.877858)
91,Whole Foods Market,5118 S Lake Park Ave,60615,OPEN,06/04/2020 03:00:00 PM,POINT (-87.587718 41.80173500000001)
92,Supermercado El Guero,2101 W Cermak Rd,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.678526 41.852157)
93,Aldi,4645 W Diversey Ave,60639,OPEN,06/04/2020 03:00:00 PM,POINT (-87.743743 41.931592)
94,Supermercado El Guero,4023 S Archer Ave.,60632,OPEN,06/04/2020 03:00:00 PM,POINT (-87.693738 41.820567)
96,Beverly Food Mart,8636 S ASHLAND AVE,60620,OPEN,06/10/2020 12:00:00 AM,POINT (-87.663181 41.73671)
97,Food Market La Chicquita,3555 W 26th Street,60623,OPEN,06/04/2020 03:00:00 PM,POINT (-87.714614 41.844396)
98,Aldi,6520 W Fullerton Ave,60707,OPEN,06/04/2020 03:00:00 PM,POINT (-87.788159 41.923717)
99,Supermercado La Chiqutia,2623 S PULASKI RD,60623,OPEN,06/10/2020 12:00:00 AM,POINT (-87.724514 41.843419)
100,Tony's Finer Foods,5233 N. Lincoln Ave,60625,OPEN,06/04/2020 03:00:00 PM,POINT (-87.69240600000002 41.976631)
101,Aldi,6025 S Western Ave,60636,OPEN,06/05/2020 01:21:00 PM,POINT (-87.68370700000001 41.78380000000001)
102,Mariano's Fresh Market,3030 N Broadway Suite 100,60657,OPEN,06/05/2020 01:21:00 PM,POINT (-87.644291 41.937393)
103,Pete's Fresh Market,4700 S Kedzie Ave.,60632,OPEN,06/04/2020 03:00:00 PM,POINT (-87.703961 41.807662)
104,Jewel - Osco,11730 S Marshfield Ave,60643,OPEN,06/03/2020 05:00:00 PM,POINT (-87.66251200000002 41.6814)
105,Jewel - Osco,3630 N Southport Ave,60613,OPEN,06/03/2020 05:00:00 PM,POINT (-87.664031 41.94821400000001)
106,Potash Markets,175 E Delaware,60611,OPEN,06/04/2020 03:00:00 PM,POINT (-87.622865 41.899246)
107,Aldi,3835 W Madison St,60624,OPEN,06/04/2020 03:00:00 PM,POINT (-87.722009 41.88078)
108,Walmart,2551 W Cermak Rd,60608,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.689211 41.852013)
109,Carniceria La Hacienda,3629 W 63rd St,60629,OPEN,06/04/2020 03:00:00 PM,POINT (-87.714114 41.7788)
110,H Mart,711 W JACKSON BLVD,60661,OPEN,06/10/2020 12:00:00 AM,POINT (-87.644687 41.87801)
111,Leamington Foods,3240 W Roosevelt Rd,60624,OPEN,06/04/2020 03:00:00 PM,POINT (-87.707076 41.866411)
112,Jewel - Osco,7530 S Stony Island Ave,60649,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.586146 41.758397)
113,Jewel - Osco,102 W Division St,60610,OPEN,06/03/2020 05:00:00 PM,POINT (-87.631522 41.90392)
114,Pete's Fresh Market,5724 S Kedzie Ave.,60629,OPEN,06/04/2020 03:00:00 PM,POINT (-87.703411 41.788825)
115,Food 4 Less,4620 S Damen Ave,60609,OPEN,,POINT (-87.674989 41.809458)
116,Pete's Produce,1543 East 87th Street,60619,OPEN,06/04/2020 03:00:00 PM,POINT (-87.58648500000001 41.736904)
117,Whole Foods Market,1550 N Kingsbury St,60642,OPEN,06/04/2020 03:00:00 PM,POINT (-87.651946 41.908333)
118,Cermak Produce,4234 N Kedzie Ave.,60618,OPEN,06/04/2020 03:00:00 PM,POINT (-87.708144 41.958242)
119,La Casa Del Pueblo,1810 S Blue Island Ave,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.662098 41.856785)
120,Target,4466 N Broadway St,60640,OPEN,,POINT (-87.656115 41.963321)
121,Park to Shop Supermarket,2425 S WALLACE ST,60616,OPEN,06/10/2020 12:00:00 AM,POINT (-87.641933 41.848631)
122,Morelia Supermarket,4833 W DIVERSEY AVE,60639,OPEN,06/10/2020 12:00:00 AM,POINT (-87.748197 41.93153)
123,Hyde Park Produce,1226 E 53RD ST,60615,OPEN,06/10/2020 12:00:00 AM,POINT (-87.595593 41.799496)
124,Jewel - Osco,424 W Division St,60610,OPEN,06/03/2020 05:00:00 PM,POINT (-87.639626 41.903827)
125,Andy's Fruit Ranch,4733 N KEDZIE AVE,60625,OPEN,06/10/2020 12:00:00 AM,POINT (-87.708464 41.967651)
126,Mariano's Fresh Market,5201 N Sheridan Rd,60640,OPEN,06/05/2020 01:21:00 PM,POINT (-87.655022 41.976906)
127,Target,1346 E 53rd St,60615,OPEN,06/05/2020 01:21:00 PM,POINT (-87.593095 41.799527)
128,Mariano's Fresh Market,1800 West Lawrence Ave.,60640,OPEN,06/05/2020 01:21:00 PM,POINT (-87.675062 41.968858)
129,Fairplay Neighborhood Market,2323 W 111th St.,60643,OPEN,06/04/2020 03:00:00 PM,POINT (-87.680391 41.691788)
130,Pete's Fresh Market,3448 E 118th St.,60617,OPEN,06/04/2020 03:00:00 PM,POINT (-87.540984 41.68094700000001)
131,Tony's Finer Foods,5630 W. Belmont Ave,60634,OPEN,06/04/2020 03:00:00 PM,POINT (-87.76795 41.938567)
132,Stumpy's Grocery & Deli,9001 S ASHLAND AVE,60620,OPEN,06/10/2020 12:00:00 AM,POINT (-87.662846 41.730156)
133,Devon Market,1440 W Devon Ave,60660,OPEN,06/04/2020 03:00:00 PM,POINT (-87.667512 41.998125)
134,Whole Foods Market,255 E Grand Ave,60611,OPEN,06/04/2020 03:00:00 PM,POINT (-87.621346 41.891801)
135,Target,1154 S Clark St,60605,OPEN,06/10/2020 12:00:00 AM,POINT (-87.630528 41.867843)
136,Mariano's Fresh Market,2112 N Ashland,60614,OPEN,06/05/2020 01:21:00 PM,POINT (-87.668539 41.920702)
137,Tony's Finer Foods,4137 N. Elston Ave,60618,OPEN,06/04/2020 03:00:00 PM,POINT (-87.72213 41.955747)
138,Los Cuatro Hermanos Grocery,1858 S ALLPORT ST,60608,OPEN,06/10/2020 12:00:00 AM,POINT (-87.657622 41.856653)
139,Target,7100 S Cicero Ave,60629,OPEN,06/05/2020 01:21:00 PM,POINT (-87.742015 41.764792)
140,Park to Shop Supermarket Broadway,4879 N BROADWAY,60640,OPEN,06/10/2020 12:00:00 AM,POINT (-87.659728 41.971045)
141,Dill Pickle Food Co-op,2746 N MILWAUKEE AVE,60647,OPEN,06/10/2020 12:00:00 AM,POINT (-87.710541 41.930966)
142,Target,4433 S Pulaski Rd,60632,OPEN,06/10/2020 12:00:00 AM,POINT (-87.723656 41.812519)
143,Moses Butcher Shop,5057 W DIVISION ST,60651,OPEN,,POINT (-87.752533 41.902306)
144,Jewel - Osco,4660 W Irving Park Rd,60641,OPEN,06/03/2020 05:00:00 PM,POINT (-87.744868 41.953468)
145,Mariano's Fresh Market,3350 North Western Avenue,60618,OPEN,06/05/2020 01:21:00 PM,POINT (-87.688178 41.942805)
146,Happy Foods - Edgebrook,6415 N Central Ave,60646,OPEN,06/04/2020 03:00:00 PM,POINT (-87.763514 41.998118)
147,Target,2656 N Elston Ave,60647,OPEN,06/05/2020 01:21:00 PM,POINT (-87.683798 41.929451)
148,Trader Joe's,667 W DIVERSEY PKWY,60614,OPEN,06/10/2020 12:00:00 AM,POINT (-87.645939 41.932807)
149,Ogies Food,2600 W LITHUANIAN PLAZA CT,60629,OPEN,06/10/2020 12:00:00 AM,POINT (-87.688311 41.768259)
150,Walmart,10900 S Doty Ave,60628,OPEN,06/10/2020 12:00:00 AM,POINT (-87.596618 41.696117)
151,Walmart,7535 S Ashland Ave,60620,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.663538 41.756362)
152,Cermak Produce,1711 W Cermak,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.669358 41.852296)
153,Cermak Produce,3033 S Halsted St.,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.646295 41.838836)
154,Pete's Fresh Market,5838 S Pulaski Rd.,60629,OPEN,06/04/2020 03:00:00 PM,POINT (-87.723053 41.786519)
155,Whole Foods Market,3201 N Ashland Ave,60657,OPEN,06/04/2020 03:00:00 PM,POINT (-87.668592 41.93976)
156,Target,401 E Illinois St,60611,OPEN,06/05/2020 01:21:00 PM,POINT (-87.617634 41.891053)
157,Jewel - Osco,6107 S Archer Ave,60638,OPEN,06/03/2020 05:00:00 PM,POINT (-87.770696 41.794391)
158,Foodsmart,2901 W Armitage Ave,60647,OPEN,06/04/2020 03:00:00 PM,POINT (-87.699617 41.917474)
159,Target,2434 N SACRAMENTO AVE,60647,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.702326 41.925616)
160,Save A Lot,7240 S Stony Island,60649,OPEN,06/05/2020 01:21:00 PM,POINT (-87.586265 41.762774)
161,Aldi,821 W 115th St,60643,OPEN,06/05/2020 01:21:00 PM,POINT (-87.64258800000002 41.685074)
162,Trader Joe's,44 E ONTARIO ST,60611,OPEN,06/10/2020 12:00:00 AM,POINT (-87.626344 41.89332300000001)
163,Leamington Foods,5467 W Madison St,60644,OPEN,06/04/2020 03:00:00 PM,POINT (-87.76380600000002 41.880217)
164,Cermak Produce,3311 W 26th St.,60623,OPEN,06/04/2020 03:00:00 PM,POINT (-87.70826800000002 41.844499000000006)
165,Whole Foods Market,3640 N Halsted St,60613,OPEN,06/04/2020 03:00:00 PM,POINT (-87.649502 41.948387)
166,Jewel - Osco,6430 W Irving Park Rd,60634,OPEN,06/03/2020 05:00:00 PM,POINT (-87.787727 41.952915)
167,Carniceria Jimenez,3850 W Fullerton Ave,60647,OPEN,06/03/2020 09:30:00 PM,POINT (-87.723901 41.924575)
